名称,在售价格,在售数量
AWP | 响尾蛇 (略有磨损),￥8.25,"
                            468"
AK-47 | 迷踪秘境 (久经沙场),￥3.70,"
                            169"
UMP-45 | 野孩子 (战痕累累),￥20.33,"
                            125"
双持贝瑞塔（StatTrak™） | 海斗士 (破损不堪),￥95.11,"
                            11"
新星（纪念品） | 绿苹果 (略有磨损),￥41.65,"
                            10"
双持贝瑞塔 | 毒蛇袭击 (破损不堪),￥460.00,"
                            2"
封装的涂鸦 | 虚情假意 (棕褐),￥91.55,"
                            2"
法玛斯 | 机械工业 (久经沙场),￥356.00,"
                            229"
FN57 | 银白石英 (略有磨损),￥1.30,"
                            752"
P250 | 绛络 (崭新出厂),￥0.35,"
                            89"
MP5-SD | 猛烈冲锋 (久经沙场),￥2.85,"
                            654"
沙漠之鹰（StatTrak™） | 蓝色层压板 (略有磨损),￥12.64,"
                            75"
格洛克18型 | 忍瞳 (战痕累累),￥31.99,"
                            288"
M4A1消音版 | 次时代 (崭新出厂),￥1580.00,"
                            268"
USP消音版 | 公路杀手 (崭新出厂),￥1339.99,"
                            36"
沙漠之鹰 | 日落风暴 壱 (崭新出厂),￥5890.00,"
                            33"
AWP | 复古流行 (破损不堪),￥67.59,"
                            23"
USP消音版 | 公路杀手 (崭新出厂),￥1339.99,"
                            36"
沙漠之鹰 | 日落风暴 壱 (崭新出厂),￥5890.00,"
                            33"
AWP | 复古流行 (破损不堪),￥67.59,"
                            23"
MP7 | 笑一个 (崭新出厂),￥32.54,"
                            17"
P250 | 迷人幻象 (战痕累累),￥23.27,"
                            94"
格洛克18型（StatTrak™） | 城里的月光 (战痕累累),￥10.37,"
                            47"
法玛斯 | 湖蓝涂装 (崭新出厂),￥12.19,"
                            11"
新星 | 香肠地狱 (崭新出厂),￥20.70,"
                            28"
音乐盒（StatTrak™） | Hundredth - 冲破藩篱,￥5.20,"
                            121"
印花 | 9z Team（闪耀）| 2022年安特卫普锦标赛,￥12.62,"
                            28"
守护者 2 号胸章,￥22.54,"
                            41"
法玛斯 | 半调水洗 (崭新出厂),￥3.85,"
                            337"
印花 | FURIA（闪耀）| 2022年里约热内卢锦标赛,￥3.65,"
                            23"
AK-47 | 交叉渐变 (破损不堪),￥15.65,"
                            28"
SSG 08（StatTrak™） | 抖枪 (战痕累累),￥24.66,"
                            33"
格洛克18型（纪念品） | 噩梦之夜 (破损不堪),￥3.37,"
                            14"
SG 553 | 豹灯蛾 (破损不堪),￥8.25,"
                            19"
CZ75自动型（StatTrak™） | 战术高手 (久经沙场),￥7.30,"
                            59"
SSG 08 | 碳素纤维 (崭新出厂),￥30.00,"
                            19"
SSG 08 | 浮生如梦 (破损不堪),￥9.22,"
                            32"
SSG 08 | 浮生如梦 (破损不堪),￥9.22,"
                            32"
印花 | Outsiders（闪耀）| 2022年里约热内卢锦标赛,￥2.09,"
                            26"
音乐盒 | Sam Marshall，危在旦夕,￥5.77,"
                            9"
M4A4 | 彼岸花 (战痕累累),￥34.00,"
                            38"
印花 | 00 Nation（闪耀）| 2022年里约热内卢锦标赛,￥6.79,"
                            81"
印花 | 9z Team | 2022年安特卫普锦标赛,￥1.73,"
                            141"
FN57（StatTrak™） | 都市危机 (久经沙场),￥26.89,"
                            53"
MAC-10 | 魅惑 (略有磨损),￥6.57,"
                            237"
封装的涂鸦 | 旗袍诱惑,￥0.00,"
                            0"
印花 | bLitz（金色） | 2022年安特卫普锦标赛,￥53.19,"
                            1"
AUG（StatTrak™） | 瘟疫 (战痕累累),￥4.88,"
                            22"
AWP | 锦虎 (略有磨损),￥4193.00,"
                            16"
P250（StatTrak™） | 翼击 (久经沙场),￥42.75,"
                            15"
AUG | 小猪猪 (略有磨损),￥900.00,"
                            38"
MAC-10 | 捕猎者 (略有磨损),￥3.11,"
                            23"
MP7 | 速递 (战痕累累),￥10.17,"
                            16"
MP9 | 焦油缠绕 (略有磨损),￥11.50,"
                            55"
G3SG1 | 黑砂 (略有磨损),￥12.67,"
                            7"
P2000 | 手炮 (略有磨损),￥10.27,"
                            28"
格洛克18型 | 噩梦之夜 (久经沙场),￥10.89,"
                            96"
格洛克18型 | 噩梦之夜 (久经沙场),￥10.89,"
                            96"
FN57 | 热火朝天 (破损不堪),￥18.09,"
                            11"
SG 553（StatTrak™） | 浪花喷漆 (战痕累累),￥41.05,"
                            4"
印花 | StarLadder | 2025年布达佩斯锦标赛,￥0.02,"
                            215"
内格夫 | 动力装载机 (崭新出厂),￥51.00,"
                            89"
印花 | G2 Esports | 2025年布达佩斯锦标赛,￥0.02,"
                            9"
印花 | paiN Gaming | 2025年布达佩斯锦标赛,￥0.02,"
                            176"
印花 | G2 Esports（刺绣）| 2025年布达佩斯锦标赛,￥0.20,"
                            5"
CZ75自动型 | 铜芯纤维 (久经沙场),￥0.28,"
                            72"
XM1014 | 跑跑跑 (崭新出厂),￥29.67,"
                            44"
MAG-7 | 野树林 (战痕累累),￥0.35,"
                            834"
CZ75自动型 | 聚合物 (破损不堪),￥3.44,"
                            32"
印花 | Boombl4（全息）| 2025年奥斯汀锦标赛,￥8.85,"
                            14"
MAG-7（StatTrak™） | 石雕 (破损不堪),￥12.55,"
                            14"
蝴蝶刀（★） | 深红之网 (久经沙场),￥5410.00,"
                            28"
G3SG1 | 碧蓝斑纹 (久经沙场),￥24.15,"
                            9"
新星 | 玩具士兵 (略有磨损),￥13.28,"
                            35"
CZ75自动型（StatTrak™） | 聚合物 (破损不堪),￥4.31,"
                            20"
P250（纪念品） | 沙丘之黄 (破损不堪),￥11.02,"
                            10"
内格夫 | 沙漠精英 (久经沙场),￥2.41,"
                            93"
印花 | ANGE1 | 2019年卡托维兹锦标赛,￥23.03,"
                            1"
格洛克18型 | 摩登时代 (破损不堪),￥32.35,"
                            11"
暗影双匕（★ StatTrak™） | 自由之手 (崭新出厂),￥775.00,"
                            9"
新星 | 巴洛克之橙 (略有磨损),￥768.00,"
                            5"
短剑（★） | 表面淬火 (久经沙场),￥1753.00,"
                            24"
MP7（StatTrak™） | 帝国 (破损不堪),￥54.59,"
                            3"
折叠刀（★ StatTrak™）,￥1495.00,"
                            10"
廓尔喀刀（★ StatTrak™） | 森林 DDPAT (久经沙场),￥482.00,"
                            35"
刺刀（★） | 表面淬火 (久经沙场),￥1786.00,"
                            22"
骷髅匕首（★ StatTrak™） | 北方森林 (破损不堪),￥1348.00,"
                            4"
海豹短刀（★ StatTrak™） | 狩猎网格 (久经沙场),￥618.00,"
                            22"
法玛斯（StatTrak™） | 幻灭之旅 (久经沙场),￥327.00,"
                            55"
猎杀者匕首（★） | 致命紫罗兰 (崭新出厂),￥3775.00,"
                            4"
弯刀（★） | 北方森林 (战痕累累),￥642.00,"
                            22"
折叠刀（★） | 北方森林 (久经沙场),￥746.00,"
                            49"
挂件（纪念品） | 2025年奥斯汀锦标赛高光时刻 | 巧妙的出烟,￥30.42,"
                            2"
AK-47 | 传承 (久经沙场),￥398.88,"
                            1000"
P90（StatTrak™） | 浅坟 (破损不堪),￥84.30,"
                            3"
熊刀（★ StatTrak™） | 表面淬火 (略有磨损),￥1536.00,"
                            11"
弯刀（★ StatTrak™） | 大马士革钢 (战痕累累),￥1535.00,"
                            2"
AK-47 | 传承 (久经沙场),￥398.88,"
                            1000"
P90（StatTrak™） | 浅坟 (破损不堪),￥84.30,"
                            3"
熊刀（★ StatTrak™） | 表面淬火 (略有磨损),￥1536.00,"
                            11"
弯刀（★ StatTrak™） | 大马士革钢 (战痕累累),￥1535.00,"
                            2"
P90 | 芥子气 (破损不堪),￥1.30,"
                            4"
印花 | ANGE1（闪亮）| 2019年卡托维兹锦标赛,￥86.98,"
                            1"
印花 | 克拉斯沃特国王（闪亮）,￥7.40,"
                            22"
M4A4 | 皇家圣骑士 (久经沙场),￥551.00,"
                            104"
格洛克18型（StatTrak™） | 锈蚀烈焰 (久经沙场),￥2.12,"
                            115"
MP9（StatTrak™） | 致命毒药 (久经沙场),￥7.41,"
                            82"
沙漠之鹰 | 陨星 (久经沙场),￥6.65,"
                            26"
新星 | 随风 (崭新出厂),￥3.09,"
                            111"
沙漠之鹰 | 都市瓦砾 (战痕累累),￥2.90,"
                            20"
MP7 | 卷云 (战痕累累),￥3.51,"
                            39"
SG 553（StatTrak™） | 重金属摇滚 (战痕累累),￥2.41,"
                            24"
USP消音版 | 地狱门票 (略有磨损),￥7.20,"
                            26"
MAC-10 | 白鲑鱼 (略有磨损),￥2.64,"
                            30"
印花 | Fnatic（全息）| 2018年伦敦锦标赛,￥74.62,"
                            1"
印花 | B1ad3 | 2017年克拉科夫锦标赛,￥91.55,"
                            2"
FN57 | 青空 (战痕累累),￥0.51,"
                            28"
FN57 | 青空 (战痕累累),￥0.51,"
                            28"
Tec-9（纪念品） | 遥控 (破损不堪),￥164.00,"
                            3"
亲笔签名胶囊 | Ninjas in Pyjamas | 2016年 MLG 哥伦布锦标赛,￥74.16,"
                            2"
新星 | 石墨黑 (崭新出厂),￥59.66,"
                            98"
P250（StatTrak™） | 炼狱小镇 (崭新出厂),￥47.70,"
                            7"
FN57 | 都市危机 (崭新出厂),￥20.25,"
                            181"
印花 | Ax1Le（金色）| 2024年上海锦标赛,￥46.23,"
                            1"
MP5-SD（StatTrak™） | 小小噩梦 (略有磨损),￥1.54,"
                            117"
格洛克18型 | 荒野反叛 (崭新出厂),￥1382.00,"
                            191"
沙漠之鹰 | 后发制人 (崭新出厂),￥30.30,"
                            93"
FN57 | 霸意大名 (久经沙场),￥3.07,"
                            54"
MP9 | 焦油缠绕 (破损不堪),￥7.68,"
                            18"
AK-47 | 美洲猛虎 (崭新出厂),￥4410.00,"
                            21"
M4A1消音版 | 苔藓石英 (崭新出厂),￥1333.00,"
                            60"
AWP | 灵缇 (略有磨损),￥3063.00,"
                            49"
印花 | CeRq（闪亮）| 2019年卡托维兹锦标赛,￥60.98,"
                            1"
印花 | TACO | 2016年 MLG 哥伦布锦标赛,￥43.92,"
                            2"
SG 553（StatTrak™） | 黯翼 (久经沙场),￥6.66,"
                            55"
裹手（★） | 云杉 DDPAT (久经沙场),￥6560.00,"
                            39"
法玛斯 | 纪念碑 (战痕累累),￥240.00,"
                            3"
封装的涂鸦 | Natus Vincere | 2017年亚特兰大锦标赛,￥63.82,"
                            2"
刺刀（★） | 自由之手 (破损不堪),￥1528.00,"
                            11"
FN57（纪念品） | 坠落危险 (略有磨损),￥585.00,"
                            1"
系绳匕首（★） | 森林 DDPAT (破损不堪),￥411.00,"
                            20"
P90 | 精雕木刻 (崭新出厂),￥310.00,"
                            8"
刺刀（★） | 蓝钢 (破损不堪),￥1516.00,"
                            9"
SSG 08（StatTrak™） | 巨铁 (略有磨损),￥302.00,"
                            5"
弯刀（★ StatTrak™） | 都市伪装 (久经沙场),￥672.00,"
                            8"
短剑（★） | 森林 DDPAT (破损不堪),￥924.00,"
                            6"
鲍伊猎刀（★） | 北方森林 (略有磨损),￥560.00,"
                            16"
P2000（StatTrak™） | 火灵 (久经沙场),￥588.00,"
                            9"
驾驶手套（★） | 菱背蛇纹 (破损不堪),￥2750.00,"
                            8"
格洛克18型（StatTrak™） | 子弹皇后 (久经沙场),￥372.00,"
                            11"
锯齿爪刀（★） | 深红之网 (久经沙场),￥2590.00,"
                            17"
暗影双匕（★ StatTrak™） | 自由之手 (略有磨损),￥757.00,"
                            4"
MAC-10（StatTrak™） | 赛博恶魔 (略有磨损),￥36.68,"
                            44"
专业手套（★） | 森林 DDPAT (战痕累累),￥923.00,"
                            21"
AUG（纪念品） | 随机存取 (久经沙场),￥25.24,"
                            7"
新星 | 兴风作浪 (久经沙场),￥39.90,"
                            21"
CZ75自动型 | 猛虎 (久经沙场),￥13.65,"
                            80"
AUG（纪念品） | 随机存取 (久经沙场),￥25.24,"
                            7"
新星 | 兴风作浪 (久经沙场),￥39.90,"
                            21"
CZ75自动型 | 猛虎 (久经沙场),￥13.65,"
                            80"
MAG-7（StatTrak™） | 灼烧之痕 (破损不堪),￥13.28,"
                            4"
P2000（StatTrak™） | 林间猎者 (久经沙场),￥126.00,"
                            11"
MAG-7 | 记忆碎片 (久经沙场),￥63.53,"
                            8"
MAG-7（StatTrak™） | 炽热 (破损不堪),￥8.47,"
                            55"
P90 | 冰川网格 (久经沙场),￥51.94,"
                            4"
布章 | 金·大师级守护者 ー 卓越,￥8.18,"
                            37"
印花 | 鸿运当头（闪亮）,￥36.91,"
                            5"
SCAR-20（纪念品） | 雇佣兵 (破损不堪),￥92.78,"
                            2"
AK-47 | 夜愿 (久经沙场),￥436.00,"
                            1177"
沙漠之鹰（StatTrak™） | 遗产 (战痕累累),￥102.00,"
                            6"
CZ75自动型 | 红鹰 (略有磨损),￥10.94,"
                            30"
R8左轮手枪 | 蕉农炮 (略有磨损),￥6.93,"
                            97"
Tec-9 | 碎蛋白石 (略有磨损),￥1.76,"
                            77"
格洛克18型 | 异星世界 (久经沙场),￥2.28,"
                            69"
Tec-9 | 沙尘暴 (久经沙场),￥3.22,"
                            100"
R8左轮手枪 | 骸骨外罩 (破损不堪),￥0.84,"
                            7"
PP-野牛 | 外表生锈 (久经沙场),￥78.37,"
                            11"
R8左轮手枪 | 骸骨外罩 (破损不堪),￥0.84,"
                            7"
PP-野牛 | 外表生锈 (久经沙场),￥78.37,"
                            11"
双持贝瑞塔（StatTrak™） | 食人花 (崭新出厂),￥40.60,"
                            32"
Tec-9（StatTrak™） | 闪光舞步 (久经沙场),￥1.83,"
                            108"
UMP-45（StatTrak™） | 曝光 (战痕累累),￥8.04,"
                            24"
格洛克18型 | 核子花园 (略有磨损),￥19.50,"
                            202"
Tec-9 | 沙尘暴 (战痕累累),￥2.99,"
                            38"
MAC-10（StatTrak™） | 灯箱 (崭新出厂),￥20.92,"
                            20"
音乐盒 | Tree Adams 和 Ben Bromfield - M.U.D.D. 军团,￥3.60,"
                            29"
CZ75自动型 | 紫青之色 (破损不堪),￥20.35,"
                            2"
AWP | 火卫一 (久经沙场),￥14.00,"
                            281"
AWP | 鬼退治 (久经沙场),￥3309.99,"
                            39"
P2000 | 黑曜石 (久经沙场),￥12.70,"
                            50"
M4A4（StatTrak™） | 活色生香 (崭新出厂),￥946.15,"
                            34"
AK-47（StatTrak™） | 皇后 (略有磨损),￥1200.53,"
                            30"
UMP-45（StatTrak™） | 城里的月光 (略有磨损),￥15.81,"
                            21"
MP7 | 速递 (破损不堪),￥19.27,"
                            3"
USP消音版 | 橙红安乐蜥 (崭新出厂),￥1058.00,"
                            52"
M4A1消音版 | 幽独 (破损不堪),￥11.31,"
                            1888"
USP消音版（StatTrak™） | PC-GRN (破损不堪),￥3.24,"
                            143"
UMP-45（StatTrak™） | 城里的月光 (略有磨损),￥15.81,"
                            21"
MP7 | 速递 (破损不堪),￥19.27,"
                            3"
USP消音版 | 橙红安乐蜥 (崭新出厂),￥1058.00,"
                            52"
M4A1消音版 | 幽独 (破损不堪),￥11.31,"
                            1888"
USP消音版（StatTrak™） | PC-GRN (破损不堪),￥3.24,"
                            143"
MAC-10（StatTrak™） | 坐牢 (略有磨损),￥1.61,"
                            64"
挂件 | 魅力一击,￥7.50,"
                            2490"
格洛克18型（StatTrak™） | 冬季战术 (久经沙场),￥1.32,"
                            122"
加利尔AR | 控制 (久经沙场),￥3.29,"
                            759"
新星 | 初升之樱 (破损不堪),￥2.92,"
                            370"
P2000 | 红翼 (久经沙场),￥1.02,"
                            192"
SG 553 | 重金属摇滚 (略有磨损),￥3.13,"
                            17"
加利尔AR | 鸲珠 (略有磨损),￥1.23,"
                            225"
MAC-10 | 纸老虎 (战痕累累),￥4.84,"
                            170"
MAG-7（StatTrak™） | 北冥有鱼 (战痕累累),￥3.65,"
                            95"
MAG-7（StatTrak™） | 震级 (久经沙场),￥2.56,"
                            68"
M249 | O.S.I.P.R. (崭新出厂),￥3.69,"
                            41"
印花 | 毒品战争老兵,￥5.80,"
                            119"
Tec-9（StatTrak™） | 兄弟连 (战痕累累),￥4.09,"
                            37"
SSG 08（StatTrak™） | 主机001 (崭新出厂),￥8.76,"
                            96"
印花 | 毒品战争老兵,￥5.80,"
                            119"
Tec-9（StatTrak™） | 兄弟连 (战痕累累),￥4.09,"
                            37"
SSG 08（StatTrak™） | 主机001 (崭新出厂),￥8.76,"
                            96"
P250 | 北方森林 (崭新出厂),￥3.32,"
                            25"
M4A4 | 战鹰 (略有磨损),￥1.49,"
                            112"
Tec-9（StatTrak™） | 兄弟连 (略有磨损),￥9.41,"
                            59"
印花 | Bad News Eagles（全息）| 2023年巴黎锦标赛,￥3.51,"
                            118"
加利尔AR（StatTrak™） | 凤凰商号 (久经沙场),￥5.16,"
                            108"
加利尔AR | 凤凰商号 (战痕累累),￥3.22,"
                            87"
XM1014 | 加州迷彩 (崭新出厂),￥1.18,"
                            120"
MAC-10 | 红苹果 (久经沙场),￥1.52,"
                            58"
USP消音版（纪念品） | 紫色 DDPAT (久经沙场),￥16.60,"
                            40"
双持贝瑞塔 | 天矢之眼 (破损不堪),￥5.62,"
                            198"
新星 | 索贝克之噬 (崭新出厂),￥107.00,"
                            12"
截短霰弹枪 | 荒野公主 (战痕累累),￥346.00,"
                            12"
SSG 08 | 致命站点 (久经沙场),￥5.61,"
                            284"
截短霰弹枪（纪念品） | 外表生锈 (久经沙场),￥35.42,"
                            8"
格洛克18型 | 零食派对 (崭新出厂),￥1820.00,"
                            62"
M249 | 等高线 (久经沙场),￥4.75,"
                            53"
加利尔AR（StatTrak™） | 破坏者 (崭新出厂),￥81.54,"
                            3"
加利尔AR | 凤凰商号 (战痕累累),￥3.22,"
                            87"
XM1014 | 加州迷彩 (崭新出厂),￥1.18,"
                            120"
MAC-10 | 红苹果 (久经沙场),￥1.52,"
                            58"
USP消音版（纪念品） | 紫色 DDPAT (久经沙场),￥16.60,"
                            40"
双持贝瑞塔 | 天矢之眼 (破损不堪),￥5.62,"
                            198"
新星 | 索贝克之噬 (崭新出厂),￥107.00,"
                            12"
截短霰弹枪 | 荒野公主 (战痕累累),￥346.00,"
                            12"
SSG 08 | 致命站点 (久经沙场),￥5.61,"
                            284"
截短霰弹枪（纪念品） | 外表生锈 (久经沙场),￥35.42,"
                            8"
格洛克18型 | 零食派对 (崭新出厂),￥1820.00,"
                            62"
M249 | 等高线 (久经沙场),￥4.75,"
                            53"
加利尔AR（StatTrak™） | 破坏者 (崭新出厂),￥81.54,"
                            3"
截短霰弹枪（纪念品） | 蝮蛇迷彩 (久经沙场),￥10.51,"
                            11"
音乐盒（StatTrak™） | 多名作曲家 - 迈阿密热线,￥43.40,"
                            14"
法玛斯（StatTrak™） | 元素轮廓 (崭新出厂),￥210.00,"
                            10"
PP-野牛 | 核燃料棒 (崭新出厂),￥43.76,"
                            28"
AK-47 | 混沌点阵 (崭新出厂),￥584.50,"
                            366"
印花 | Maikelele（闪亮）| 2015年科隆锦标赛,￥182.00,"
                            4"
AK-47 | 二西莫夫 (崭新出厂),￥2780.00,"
                            51"
UMP-45（StatTrak™） | 黑色魅影 (破损不堪),￥62.80,"
                            40"
音乐盒（StatTrak™） | 多名作曲家 - 迈阿密热线,￥43.40,"
                            14"
法玛斯（StatTrak™） | 元素轮廓 (崭新出厂),￥210.00,"
                            10"
PP-野牛 | 核燃料棒 (崭新出厂),￥43.76,"
                            28"
AK-47 | 混沌点阵 (崭新出厂),￥584.50,"
                            366"
印花 | Maikelele（闪亮）| 2015年科隆锦标赛,￥182.00,"
                            4"
AK-47 | 二西莫夫 (崭新出厂),￥2780.00,"
                            51"
UMP-45（StatTrak™） | 黑色魅影 (破损不堪),￥62.80,"
                            40"
印花 | snow（全息）| 2025年奥斯汀锦标赛,￥5.96,"
                            2"
印花 | Ninjas in Pyjamas（闪耀）| 2022年里约热内卢锦标赛,￥0.80,"
                            3"
新星 | 暴怒野兽 (破损不堪),￥113.00,"
                            17"
印花 | FlyQuest（闪亮）| 2025年奥斯汀锦标赛,￥1.24,"
                            126"
印花 | FlyQuest（全息）| 2025年奥斯汀锦标赛,￥70.00,"
                            31"
印花 | TYLOO（闪亮）| 2025年奥斯汀锦标赛,￥4.37,"
                            103"
印花 | BetBoom（全息）| 2025年奥斯汀锦标赛,￥73.65,"
                            26"
印花 | TYLOO（金色）| 2025年奥斯汀锦标赛,￥190.00,"
                            14"
SSG 08（StatTrak™） | 无尽深海 (破损不堪),￥3.87,"
                            95"
M4A1消音版 | 玫瑰蜂巢 (战痕累累),￥3.75,"
                            45"
P90（StatTrak™） | 死亡之握 (破损不堪),￥89.17,"
                            12"
MP7（StatTrak™） | 笑一个 (破损不堪),￥8.25,"
                            124"
AWP（StatTrak™） | 蠕虫之神 (破损不堪),￥46.23,"
                            40"
刺刀（★ StatTrak™） | 人工染色 (战痕累累),￥2318.00,"
                            2"
新星（StatTrak™） | 目镜 (久经沙场),￥13.86,"
                            38"
XM1014 | 雅藤如嫣 (久经沙场),￥657.00,"
                            8"
AK-47（StatTrak™） | 红色层压板 (战痕累累),￥1237.00,"
                            3"
MP5-SD（StatTrak™） | 高斯 (破损不堪),￥8.20,"
                            23"
G3SG1 | 公海 (战痕累累),￥4.38,"
                            20"
穿肠刀（★ StatTrak™） | 噩梦之夜 (久经沙场),￥588.00,"
                            17"
求生匕首（★） | 蓝钢 (久经沙场),￥549.00,"
                            27"
穿肠刀（★） | 都市伪装 (破损不堪),￥516.00,"
                            7"
穿肠刀（★） | 噩梦之夜 (破损不堪),￥445.00,"
                            13"
M4A1消音版 | 印花集 (久经沙场),￥1438.88,"
                            396"
骷髅匕首（★） | 人工染色 (略有磨损),￥1565.69,"
                            21"
M9 刺刀（★） | 大马士革钢 (崭新出厂),￥3749.00,"
                            19"
SSG 08 | 掠夺者 (略有磨损),￥2.81,"
                            56"
MAG-7 | 北冥有鱼 (破损不堪),￥2.85,"
                            99"
印花 | Team Dignitas | 2014年科隆锦标赛,￥510.00,"
                            31"
M4A4 | 红色 DDPAT (崭新出厂),￥1092.00,"
                            54"
格洛克18型 | 忍瞳 (破损不堪),￥32.82,"
                            501"
双持贝瑞塔 | 街头抢匪 (战痕累累),￥4.24,"
                            9"
双持贝瑞塔 | 黑豹 (略有磨损),￥22.18,"
                            11"
骷髅匕首（★ StatTrak™） | 森林 DDPAT (略有磨损),￥1859.00,"
                            3"
内格夫 | 狮子鱼 (略有磨损),￥5.00,"
                            56"
暗影双匕（★ StatTrak™） | 多普勒 (崭新出厂),￥1691.00,"
                            16"
加利尔AR（StatTrak™） | 沙尘暴 (战痕累累),￥12.61,"
                            15"
系绳匕首（★ StatTrak™） | 屠夫 (崭新出厂),￥2186.00,"
                            12"
P90 | 辐射警告 (战痕累累),￥77.31,"
                            8"
PP-野牛 | 路霸 (战痕累累),￥14.38,"
                            33"
G3SG1（StatTrak™） | 碧蓝斑纹 (久经沙场),￥34.36,"
                            11"
印花 | 死亡之眼,￥7.88,"
                            30"
音乐盒（StatTrak™） | Meechy Darko - 哥特浮华,￥23.86,"
                            25"
沙漠之鹰 | 指挥 (破损不堪),￥8.25,"
                            127"
FN57 | 雇佣兵 (略有磨损),￥35.92,"
                            3"
沙漠之鹰 | 巨蟒冲击 (破损不堪),￥4.08,"
                            21"
MP9 | 打口碟 (略有磨损),￥2.34,"
                            240"
PP-野牛 | 午夜行动 (崭新出厂),￥1.30,"
                            89"
FN57（纪念品） | 雇佣兵 (战痕累累),￥29.96,"
                            2"
MAC-10 | 脱轨 (略有磨损),￥86.00,"
                            65"
SCAR-20 | 绿色陆战队 (战痕累累),￥2.39,"
                            5"
P250 | 硝烟 (久经沙场),￥16.26,"
                            6"
新星（StatTrak™） | 风卷残云 (破损不堪),￥23.58,"
                            1"
UMP-45 | 白狼 (略有磨损),￥6.63,"
                            87"
Tec-9 | 碎蛋白石 (久经沙场),￥1.74,"
                            18"
沙漠之鹰 | 后发制人 (略有磨损),￥10.43,"
                            269"
M249（StatTrak™） | 翠绿箭毒蛙 (久经沙场),￥19.00,"
                            19"
AK-47（StatTrak™） | 精英之作 (战痕累累),￥34.58,"
                            72"
USP消音版 | 血虎 (久经沙场),￥23.06,"
                            11"
印花 | hallzerk（闪亮）| 2025年奥斯汀锦标赛,￥1.79,"
                            1"
裹手（★） | 屠夫 (久经沙场),￥8999.00,"
                            31"
印花 | frozen（全息）| 2023年巴黎锦标赛,￥10.00,"
                            1"
挂件 | 小笔头,￥1.56,"
                            1021"
沙漠之鹰 | 都市 DDPAT (崭新出厂),￥275.00,"
                            3"
M4A1消音版（StatTrak™） | 破碎铅秋 (破损不堪),￥154.00,"
                            10"
穿肠刀（★） | 自动化 (略有磨损),￥861.00,"
                            22"
印花 | jmqa | 2018年波士顿锦标赛,￥30.13,"
                            5"
印花 | Grayhound Gaming（闪耀）| 2022年里约热内卢锦标赛,￥0.52,"
                            1"
P250（StatTrak™） | 铠甲 (久经沙场),￥2.40,"
                            32"
M4A4（StatTrak™） | X 射线 (略有磨损),￥740.00,"
                            13"
折刀（★） | 人工染色 (破损不堪),￥400.00,"
                            38"
宙斯x27电击枪 | 沼泽DDPAT (久经沙场),￥0.11,"
                            36"
锯齿爪刀（★） | 屠夫 (略有磨损),￥4160.00,"
                            20"
MP9（StatTrak™） | 中度威胁 (久经沙场),￥1.95,"
                            28"
XM1014（纪念品） | 都市穿孔 (崭新出厂),￥137.00,"
                            1"
九头蛇手套（★） | 响尾蛇 (久经沙场),￥298.00,"
                            408"
双持贝瑞塔（StatTrak™） | 黑豹 (破损不堪),￥30.21,"
                            2"
加利尔AR | 隐蔽猎手 (战痕累累),￥36.26,"
                            6"
内格夫（StatTrak™） | 沙漠精英 (崭新出厂),￥5.47,"
                            40"
法玛斯 | 线路故障 (破损不堪),￥6.43,"
                            14"
双持贝瑞塔（StatTrak™） | 胶面花纹 (略有磨损),￥27.14,"
                            10"
P2000 | 渐变琥珀 (破损不堪),￥7.71,"
                            69"
加利尔AR | 隐蔽猎手 (略有磨损),￥29.28,"
                            3"
印花 | MOUZ | 2024年上海锦标赛,￥0.15,"
                            97"
M4A1消音版 | 控制台 (战痕累累),￥27.80,"
                            189"
FN57（StatTrak™） | 霸意大名 (久经沙场),￥5.20,"
                            234"
AK-47 | 可燃冰 (久经沙场),￥32.00,"
                            647"
MAG-7（纪念品） | 暴风呼啸 (略有磨损),￥2.12,"
                            10"
AUG | 汤姆猫 (略有磨损),￥1.61,"
                            65"
FN57 | 焰色反应 (略有磨损),￥1.53,"
                            34"
MP9 | 毛细血管 (崭新出厂),￥6.06,"
                            39"
折叠刀（★） | 多普勒 (略有磨损),￥2847.99,"
                            16"
AK-47 | 表面淬火 (崭新出厂),￥3590.00,"
                            60"
P90（StatTrak™） | 元女王 (战痕累累),￥8.23,"
                            22"
P90（StatTrak™） | 元女王 (略有磨损),￥7.88,"
                            38"
Tec-9（StatTrak™） | 兄弟连 (破损不堪),￥3.90,"
                            69"
截短霰弹枪（StatTrak™） | 路霸 (略有磨损),￥32.24,"
                            20"
CZ75自动型（StatTrak™） | 先驱 (战痕累累),￥12.69,"
                            14"
暗影双匕（★ StatTrak™） | 北方森林 (久经沙场),￥680.00,"
                            10"
MAC-10（StatTrak™） | 致命紫罗兰 (破损不堪),￥45.82,"
                            8"
AUG | 随机存取 (战痕累累),￥4.38,"
                            43"
印花 | Astralis | 2016年 MLG 哥伦布锦标赛,￥32.24,"
                            41"
SG 553 | 次时代 (久经沙场),￥36.00,"
                            15"
印花 | Natus Vincere （全息） | 2021年斯德哥尔摩锦标赛,￥18.45,"
                            72"
PP-野牛 | 丛林滑流 (战痕累累),￥1.61,"
                            130"
P90 | 芥子气 (略有磨损),￥1.18,"
                            175"
印花 | L1haNg（闪耀）| 2024年上海锦标赛,￥2.12,"
                            10"
印花 | ChildKing | 2024年上海锦标赛,￥1.69,"
                            145"
