序号,题号,题目名称,难度,通过率,挑战人数,标签
4025,3103,线段染色【UUST】,易,75.9%,430,贪心算法
4026,3462,序列求和,易,42.3%,431,树状数组/线段树
4027,1280,天才黑客,中,33.3%,432,2017、字符串、字典树、线段树、SDOI
4028,3330,配对游戏,难,48.4%,432,模拟、思维
4029,566,过河,难,63.1%,432,2005、NOIP、动态规划、搜索
4030,11094,糖果欢乐多,中,44.6%,432,博弈、数学
4031,3629,ymt的最短路,易,70%,433,Floyd、思维
4032,1581,数递增三元组,难,93.3%,434,2018、省赛、代码填空
4033,3456,小A想睡觉,难,0%,435,DFS
4034,3744,小蓝的智慧拼图购物,易,77.1%,435,优先队列
4035,17319,小齐挑战之奶牛比赛,中,34%,435,动态规划
4036,1324,关闭公司,中,7.7%,436,01分数规划
4037,12094,破译密码,中,89.4%,436,贪心
4038,3759,串串匹配,易,67.1%,436,思维、排序、排列组合
4039,1986,马走日,难,83.9%,436,思维、排列组合
4040,1313,排列的名次2,难,95.1%,437,逆康托展开
4041,8233,净化邪恶能量,中,91.1%,439,递归、数位分解
4042,2973,四边形的秘密,难,81.8%,439,思维、计算几何
4043,2997,最长的倍数串,难,58.6%,439,前缀和
4044,342,列队,中,9.1%,440,2017、树状数组、线段树、平衡树、NOIP
4045,4901,气压节拍,中,60.2%,441,最小生成树、并查集、暴力
4046,1115,数字排列,难,31.2%,441,思维、构造、递推
4047,4325,小蓝的消除游戏,易,90.9%,441,莫队算法
4048,5640,箱子与苹果,中,89.9%,442,思维、枚举
4049,12091,拼数,中,95.3%,443,搜索
4050,3609,汉诺塔VIII,易,11.1%,444,思维
4051,762,求先序排列,中,94.5%,444,2001、字符串、NOIP、搜索
4052,20141,深度优先搜索,难,12.5%,445,国赛、2024
4053,1888,扫雷游戏,难,69.4%,446,引用
4054,3980,划分问题,易,86.6%,446,思维、贪心、二分
4055,515,多项式输出,中,76.2%,447,2009、模拟、NOIP
4056,11018,硬币的最小组合,中,91%,447,数学
4057,4376,小沸的疯狂实验,易,78.9%,450,枚举
4058,1307,挑选盒子,难,1.7%,450,反悔贪心
4059,17594,荣神旋转字符串,中,68.4%,450,字符串
4060,792,树的重心,中,0%,451,2019、CSP-S、树形DP
4061,3187,深度问题,中,53.8%,451,动态规划
4062,380,车站分级,中,33.3%,451,2013、图论、拓扑排序、贪心、NOIP
4063,8660,小蓝的最大异或和,中,39.7%,451,01-Trie
4064,740,津津的储蓄计划,难,93.1%,452,2004、模拟、枚举、NOIP
4065,3830,害羞的男大学生,易,86.4%,452,字符串、哈希表
4066,3597,cake,易,15.4%,453,区间DP
4067,1811,谓词实例2(二元谓词),易,94.4%,453,
4068,4610,小蓝的冒险之旅,难,84.2%,454,数学
4069,1895,汉诺塔,难,80%,454,引用
4070,1416,送礼物,难,10%,454,2015、ST表、单调队列、JSOI、二分
4071,4573,排队取水3：大水池,易,90.7%,456,递推
4072,5386,线段树维护哈希,易,61.2%,457,字符串hash、线段树
4073,1342,摆放小球,中,92.8%,457,第二类斯特林数
4074,3699,线段覆盖,易,43.5%,457,树状数组、线段树、离散化、思维、排序、排列组合
4075,1425,拼图,难,33.3%,457,2014、暴力、JSOI
4076,20650,健康饮食监督【算法赛】,中,58.3%,458,
4077,8161,跑了就是跑了,中,92.2%,458,前缀和
4078,12073,幸运数字的个数,中,43.6%,459,模拟、暴力、位运算、二进制
4079,8342,小蓝吃苹果,中,91.4%,459,区间DP
4080,4343,乘积之塔,中,58.4%,459,二叉树、暴力
4081,5512,阿坤老师的烘焙挑战（简易版）,中,97.8%,460,暴力、思维、枚举、数学
4082,12424,缺页异常2【算法赛】,中,64.7%,460,数据结构
4083,4339,大衣的美丽字符串,易,0%,460,字符串、思维、动态规划
4084,1139,科学家的梦想,难,24.1%,462,可持久化并查集
4085,12057,优雅的数字,中,79.6%,463,模拟
4086,12066,星际旅行,难,14.3%,463,二分
4087,3920,交点,易,79%,463,计算几何
4088,4556,地铁最短路径与最少换乘,易,88.9%,463,最短路问题
4089,19691,二维扫雷【算法赛】,中,80%,463,模拟
4090,534,Hanoi双塔问题,难,70.8%,464,2007、高精度、NOIP、递推
4091,19748,再遇白骨精【算法赛】,中,86.2%,464,动态规划、状压DP
4092,748,神经网络,中,74.6%,464,2003、图论、拓扑排序、NOIP
4093,19798,酒量争霸赛【算法赛】,中,31.6%,465,卡特兰数、思维、数学、排列组合
4094,5648,和尚与市民,中,89.5%,466,模拟、归并排序、枚举
4095,1580,节节高升,中,94.3%,466,2021、省模拟赛、代码填空
4096,20285,排练,难,32.2%,466,国赛、2024
4097,1805,求对偶式(通用),易,27.9%,467,
4098,1500,二进制A+B,中,40%,468,2013、CQOI、动态规划
4099,3823,混境之地8,易,73.2%,468,思维、BFS
4100,8210,部落英语,中,93.2%,469,字符串
4101,1209,区间,中,6.2%,469,2016、线段树、双指针、NOI
4102,859,旅行,中,53.5%,472,最小生成树、并查集、HAOI
4103,3936,小桥的奇异旋律,易,69.3%,473,前缀和
4104,1939,回文数,难,77%,473,模拟、思维、搜索、引用
4105,1369,SOSDP,难,64.5%,474,高维前缀和
4106,3459,小蓝的鸡蛋,易,82.7%,474,树状数组、线段树
4107,3890,子弹装箱,易,82.8%,475,搜索
4108,3725,数字王国之擂台赛,易,67.8%,475,模拟、思维、DFS
4109,4027,大衣的坐标轴,易,46.2%,475,数学、概率
4110,1800,不等价的命题公式个数,易,69.9%,476,
4111,18380,旅人组合,中,97.3%,476,GCD、模拟、枚举
4112,19743,花果山洞【算法赛】,中,78.3%,477,差分、DFS
4113,1579,排列计数,难,96.4%,477,2021、省模拟赛、代码填空
4114,11103,电力网路优化,中,80.9%,477,网络流
4115,9891,围成三角形,中,0%,477,数学
4116,3670,大衣的元音字母,易,67.7%,478,模拟、双指针、思维、子序列问题
4117,18431,Yaya与区间【算法赛】,中,51.9%,479,线段树、分块、前缀和
4118,8486,电子产品加工I,中,93.8%,480,队列、模拟
4119,20530,数列差分,中,77.2%,480,蓝桥杯备赛练习题
4120,18502,字符串哈希匹配字符串,中,89.8%,480,字符串hash
4121,1082,凑硬币,中,57.1%,481,2005、POI、动态规划
4122,18329,抽屉里的糖果,中,50%,481,动态规划、01背包
4123,3032,古老马戏团,中,70.5%,481,GCD、思维、计算几何
4124,783,进制位,难,4.8%,482,1998、NOIP、搜索
4125,3801,最优修改,易,84.2%,482,贪心、最短路问题
4126,4326,填充问号,易,22.7%,482,动态规划
4127,752,级数求和,难,94.4%,482,2002、NOIP
4128,20565,密密摆放,易,93.6%,483,蓝桥杯备赛练习题
4129,3684,肖恩的第k大,易,52.4%,483,思维、二分
4130,11071,三角函数的方程问题,中,19.6%,484,二分、数学
4131,18347,四位玄机数,中,98.4%,485,枚举
4132,3356,最少能量,中,92.7%,487,模拟、贪心
4133,17808,乐乐的礼物分配,中,98.1%,487,数学
4134,1599,古怪的刷子,难,95.8%,488,高斯消元
4135,8272,坤坤的魔法库,中,91.7%,489,栈、模拟
4136,814,物流运输,难,70.4%,491,ZJOI、动态规划、最短路问题
4137,1370,老太太,中,63.5%,491,高精度
4138,3712,最小伤害,易,93.2%,491,动态规划
4139,19690,涂涂画画【算法赛】,中,72.8%,491,二分、排列组合
4140,3662,求面积和,易,66.7%,492,线段树、离散化、数学
4141,4578,最少分组,易,95.8%,492,思维
4142,3274,地牢探险,中,25%,494,DFS、数据结构、01-Trie
4143,1884,遍历迷宫,难,76.7%,496,引用
4144,3464,数对,易,51.7%,496,贪心
4145,522,靶形数独,难,30.8%,497,2009、位运算、NOIP、搜索、DFS
4146,4510,小郑选糖果,易,94.3%,497,思维
4147,1084,火星旅行,中,19.3%,498,2005、并查集、POI
4148,4338,简单的数组操作,易,50.8%,498,动态规划、递归、DFS
4149,789,括号树,难,59.4%,499,2019、CSP-S、树
4150,5020,小白猜数字,易,6.5%,501,期望DP
4151,4545,特殊的颠倒数(1),易,93%,501,动态规划、数学
4152,3847,糖果增加术,易,28%,502,动态规划
4153,4266,区间最大子序列和,难,90%,502,区间DP
4154,20649,开学采购【算法赛】,中,77.7%,505,
4155,757,字串变换,中,59.1%,505,2002、字符串、NOIP、搜索
4156,3831,脱氧核糖核酸的修复工作1,易,69.6%,505,字符串、模拟、贪心
4157,916,最大公约数问题,难,45.7%,506,高精度、SDOI
4158,2955,小熊的困惑,难,87.7%,507,数位DP、动态规划
4159,17051,popcount,易,33%,508,快速幂、排列组合
4160,777,Cantor 表,中,93%,512,1999、模拟、枚举、NOIP
4161,533,守望者的逃离,难,88.4%,512,2007、贪心、NOIP、动态规划
4162,3151,蓝桥A梦做铜锣烧,难,85.9%,512,二分
4163,1367,点点之遥,难,71.3%,512,模拟退火、三分
4164,8616,XOR最大值,中,88.3%,512,字典树
4165,3807,是不是整数幂,难,11.2%,512,二分、数学、Pollard-Rho
4166,4389,大衣使AB相等,易,78.5%,515,思维、构造、位运算
4167,3682,肖恩分糖果,难,50%,518,思维、二分
4168,911,激光炸弹,中,70.7%,518,前缀和、HNOI、动态规划
4169,8140,电池矩阵,中,97.3%,518,模拟、枚举
4170,17376,小齐挑战之围栏计划,中,82.4%,518,DFS
4171,3093,最多个完全平方数【UUST】,易,40.3%,519,质因子分解+组合数思想
4172,8300,珂朵莉树,中,63.1%,519,线段树
4173,8633,模拟退火模板,中,84.9%,519,高斯消元、模拟退火
4174,1871,验证歌德巴赫猜想,中,90.2%,520,引用
4175,3953,大衣的最大排列和,易,56.2%,520,思维、贪心、排序、前缀和
4176,17129,最大算式,难,58.1%,520,2023、贪心、国赛、数学
4177,18333,旅行的截止日期,中,91.5%,521,图论、Dijkstra
4178,8302,冒险岛的魔法果实,中,93.7%,522,动态规划、多重背包
4179,17356,小齐的奶牛牧场问题,中,42.9%,522,动态规划
4180,560,2^k进制数,难,53.3%,523,2006、高精度、NOIP
4181,19770,花魁之争【算法赛】,中,55.1%,524,字符串、思维、博弈
4182,4225,大衣最多1的个数,易,87.4%,524,字符串、枚举
4183,8127,断舍离的智慧,中,97.4%,525,贪心
4184,8661,矩阵快速幂,中,82%,525,矩阵快速幂
4185,17016,数位计数【省模拟赛】,中,97.9%,527,
4186,4516,直方图中的最大建筑面积,易,82%,527,栈
4187,11056,笨怂爬山,中,22.2%,529,图论
4188,11059,小浩的异或问题,中,13.3%,530,数位DP
4189,2393,坐标变换,难,84.1%,530,计算几何
4190,4258,九星连珠,易,23.8%,530,中国剩余定理、数学
4191,3761,劈瓜,易,84.6%,532,思维、贪心、排序、前缀和
4192,770,方格取数,难,82.4%,533,2000、费用流、NOIP、动态规划
4193,9994,香煎七十二餐馆【算法赛】,中,38.5%,533,矩阵快速幂、思维、动态规划
4194,745,数字游戏,难,70%,533,2003、前缀和、NOIP、动态规划、搜索
4195,3910,符号变反操作,易,89.5%,534,差分、贪心
4196,18503,最大连续子序列,中,95.2%,535,动态规划
4197,2394,旋转角,难,78.3%,535,计算几何
4198,528,火柴棒等式,中,83.5%,536,2008、NOIP、搜索
4199,3092,最多个质数【UUST】,易,63.7%,536,二分图最大匹配（匈牙利算法）
4200,5526,妮妮的月饼工厂v2,中,92.2%,536,暴力、二分
4201,3639,小明的秘制胶囊,中,77.7%,537,差分、前缀和
4202,2956,数位魔法,难,90.8%,537,数位DP、动态规划
4203,3730,土豪与劫匪,易,59.1%,537,BFS
4204,5031,小怂的黄牛派对,易,93.2%,538,图论、最短路问题
4205,18480,分子实验【算法赛】,难,38.5%,539,思维、动态规划
4206,18530,小蓝的逆序对问题【算法赛】,中,30.9%,539,主席树、树状数组、离线、离线处理
4207,562,校门外的树,中,93.6%,540,2005、模拟、NOIP
4208,1333,单词匹配,难,20.2%,540,AC自动机
4209,334,填数游戏,难,16.7%,540,2018、NOIP、动态规划
4210,1760,石子游戏,难,96.5%,540,巴什博弈
4211,564,循环,难,35.7%,541,2005、字符串、模拟、高精度、NOIP
4212,20543,旗帜,易,83.8%,541,蓝桥杯备赛练习题
4213,1552,新型斐波那契数列,难,43.5%,542,矩阵快速幂
4214,3689,卖奶茶,易,71%,542,前缀和、数学
4215,5652,丽丽的函数,中,82.5%,543,模拟、思维、前缀和
4216,1390,A Careful Approach,中,67.9%,544,二分
4217,1226,小明的游戏5,难,95%,544,威佐夫博弈
4218,4423,幸运数字,易,55%,546,思维、数学
4219,4328,线性同余方程,易,84.6%,546,EXGCD
4220,12423,缺页异常1【算法赛】,难,70.6%,548,堆、模拟、动态规划
4221,2392,直线相交和点位置,中,77.6%,550,计算几何
4222,3909,统计指定前缀的单词数,易,94.2%,551,字符串
4223,8336,城市间的交易,易,82.7%,553,图论、Floyd
4224,1296,排列的名次,难,88.4%,554,康托展开
4225,11126,房屋间的路牌,易,69.9%,554,动态规划、数学
4226,19683,8puzzle,中,80.5%,554,BFS
4227,5875,Fibonacci数列（2）,中,89.7%,554,暴力、思维
4228,5623,数字的修改次数,中,98.5%,556,模拟
4229,6162,行列式求值,中,66.2%,557,高斯消元
4230,3035,慈善晚会,中,91.4%,558,图论、思维、贪心、最短路问题
4231,3677,连续子序列的个数,易,77.1%,561,双指针
4232,4304,数字变换游戏,易,84.2%,561,思维、递归、二进制
4233,570,花生采摘,难,83%,562,2004、模拟、NOIP、搜索
4234,2960,忍者画圆,中,87.7%,562,思维、计算几何
4235,8111,逃离数字迷宫,中,76.5%,563,DFS
4236,967,部落划分,难,88.2%,563,最小生成树、贪心、JSOI
4237,8256,小蓝的开机密码,中,82.4%,564,字符串hash、模拟
4238,1350,小明的游戏7,难,93.9%,564,SG定理
4239,3951,大衣的办公室,难,69.4%,564,模拟、思维
4240,17158,学《博弈论》的贝贝2.0【算法赛】,难,63.6%,565,思维、博弈
4241,824,GT考试,中,16%,565,KMP、AC自动机、矩阵快速幂、HNOI、动态规划
4242,8322,递归函数,中,69.4%,565,快速幂、思维、递推、数学
4243,1219,小明的游戏2,难,87.3%,565,尼姆博弈
4244,1799,不等价的命题公式的真值表,易,45.5%,566,
4245,17217,卓儿砍树,中,55.7%,566,贪心
4246,3995,依依的魔法咒语,中,7.3%,566,思维、位运算
4247,4287,威震华夏,中,95.1%,566,状态压缩
4248,802,直播获奖,难,70.1%,569,2020、排序、CSP-J
4249,1138,数列,中,38.5%,569,2013、差分、HNOI
4250,3098,叠硬币【UUST】,难,12.2%,570,01背包
4251,10575,厉害的字符串,中,91%,570,模拟
4252,3843,重复两遍的数,中,91.5%,571,字符串
4253,8146,小点点的生日礼物,中,98.3%,571,模拟
4254,20500,道路和航路,难,60.9%,572,蓝桥杯备赛练习题
4255,17083,小蓝的灯,中,70.6%,572,动态规划、状压DP
4256,3854,找零钱,难,32%,574,思维、贪心、位运算、数学
4257,1274,数点,中,94.5%,574,计算几何
4258,3586,神犇的悲惨一生,难,82.7%,575,数学
4259,10033,麻烦的小团体,中,94%,575,背包问题
4260,3197,方格染色,难,92.4%,575,思维、构造、二分
4261,18326,星体能量,中,89.2%,575,数学
4262,5622,丽丽的魔法石,中,93.9%,575,暴力、递归
4263,3591,符号三角形,易,51.9%,576,数学
4264,4371,小朋友排队,难,50.8%,576,二分、最短路问题
4265,3784,字符串子序列,易,46.5%,576,字符串、暴力
4266,756,均分纸牌,中,91%,576,2002、模拟、贪心、NOIP
4267,1083,斐波那契问题,中,0%,577,2005、贪心、POI
4268,385,花匠,难,89.2%,577,2013、贪心、NOIP、动态规划
4269,19781,三英战萝卜【算法赛】,中,54.3%,578,思维、动态规划
4270,8191,最长上升列,中,94.8%,578,动态规划
4271,4357,金苹果群岛的建设,易,80.6%,579,连通块
4272,1818,求2个谓词公式的真值-2,易,96.3%,579,
4273,945,梦幻布丁,中,38.2%,579,链表、启发式合并、HNOI
4274,18597,升级电缆【算法赛】,中,36.8%,582,LCA、整体二分、线段树、思维、二分、可持久化线段树
4275,3016,积木大厦,中,82.8%,583,贪心、前缀和
4276,19689,字符串博弈游戏【算法赛】,中,45.3%,583,字符串、思维
4277,1222,小明的游戏3,难,95.7%,585,尼姆博弈
4278,3757,真爱粉小蓝的选择,易,63.7%,587,动态规划、递归
4279,335,保卫王国,中,0%,591,2018、树链剖分、倍增、NOIP、动态规划
4280,3073,符合条件的数,中,63.6%,592,思维、构造、搜索、递归、数学
4281,17054,"求P(n, m) mod k和C(n, m) mod k",易,17.4%,592,卢卡斯定理
4282,349,海港,中,69.2%,593,2016、模拟、NOIP
4283,5061,矿区建设,中,92%,593,Prim、最小生成树
4284,1329,强连通分量,难,95.9%,597,强连通分量
4285,3138,小蓝组网,难,85.3%,599,图论、Floyd、最短路问题
4286,5011,阿霖的旅游计划,易,90.8%,600,图论、拓扑排序、思维、动态规划
4287,383,货车运输,中,67%,601,2013、图论、LCA、并查集、倍增、贪心、NOIP
4288,1546,坐标搜寻,难,87.7%,602,状压DP
4289,12039,迷宫密码,易,56.8%,603,思维
4290,3268,合适的组合,难,92.2%,603,模拟、思维、高精度
4291,8222,电量回文,中,88%,604,并查集、回文数
4292,4174,新一与基德的身高大战,中,64.9%,604,贪心
4293,19749,真假美猴王的幽谷纷争【算法赛】,中,34.4%,606,贪心、博弈
4294,1657,指数移动,难,85.8%,606,Floyd
4295,18118,锻炼思维,中,98.6%,606,模拟、枚举
4296,3396,优美的数组,难,88.4%,607,单调栈、模拟
4297,8208,工厂质检员,中,94.3%,608,暴力、二分
4298,373,飞扬的小鸟,难,65.2%,609,枚举、动态规划、背包问题
4299,3707,买蛋糕,中,94.3%,609,逆元、单调队列
4300,390,Vigenère 密码,中,89.2%,610,2012、字符串、模拟、NOIP
4301,5874,猴子吃桃,中,71.1%,610,递推、数学
4302,17027,最后的加k【算法赛】,中,47.2%,615,矩阵快速幂、倍增
4303,8121,星迪的气场计算,中,89.7%,615,贪心、排序
4304,4330,欧拉函数模板,易,95%,615,欧拉函数
4305,4356,大衣构造字符串,易,76.6%,616,思维、构造
4306,393,同余方程,难,85.4%,616,2012、EXGCD、NOIP
4307,1864,二进制数,难,92.2%,617,引用
4308,5062,欧拉求和,中,74.8%,617,卡特兰数
4309,1327,同余方程组的最小解,难,92.8%,619,中国剩余定理
4310,3113,点亮须弥【UUST】,难,92.9%,620,最小生成树
4311,12115,选糖果【算法赛】,中,71.6%,620,主席树
4312,2946,蓝桥楼梯,难,16.7%,620,思维
4313,800,贪吃蛇,中,13.3%,621,2020、队列、堆、贪心、CSP-S
4314,3758,绝地求生,易,86.3%,621,模拟、思维
4315,12006,去重数组,中,97.7%,621,贪心
4316,8086,城市规划大师,中,94.9%,622,Kruskal、最小生成树
4317,18500,猜测数字【算法赛】,中,76.7%,623,思维
4318,3589,一卡通大冒险,易,69.8%,624,贝尔数、斯特林数
4319,4214,好的区间,易,0%,626,思维
4320,1347,寻宝游戏,中,35.7%,627,2015、DFS序、LCA、虚树、SDOI
4321,17171,小蓝的密码【算法赛】,中,27.2%,630,状压DP、数学
4322,1882,醉酒的狱卒,中,91%,630,引用
4323,350,魔法阵,中,0%,630,思维、计算几何
4324,1967,背包问题,难,19.6%,631,引用
4325,4240,米拉罗宾判定素数,易,81.8%,634,Miller_Rabin、数学
4326,3665,麻将胡牌判定,易,31.8%,635,模拟、思维、DFS
4327,403,计算系数,难,68.6%,637,2011、NOIP、质数
4328,352,天天爱跑步,中,50%,639,2016、LCA、树链剖分、线段树、树上差分、NOIP
4329,19933,赏花宴【算法赛】,中,69%,639,双指针、思维、排序、离线处理
4330,1281,遗忘的集合,中,0%,640,2017、SDOI
4331,5380,小蓝的选边,中,84.8%,640,状压DP
4332,20536,消消乐,中,75.9%,643,蓝桥杯备赛练习题
4333,4452,小乐的堡垒,易,45.1%,644,思维、贪心、排序
4334,3023,回文数组,难,54.2%,644,GCD、思维、数学
4335,19767,婚礼【算法赛】,中,63.9%,645,贪心
4336,20142,生成树问题,难,14.8%,645,国赛、2024
4337,1414,子集选取,中,78.9%,647,2015、JSOI、动态规划
4338,12067,能量石,中,90.7%,649,思维
4339,4898,信箱避难所,易,85%,651,最小生成树、并查集
4340,1339,水流,难,94.6%,651,网络流
4341,1869,关灯游戏增强版,难,84.7%,651,引用
4342,8082,质数异或,中,79.8%,652,线性筛、位运算
4343,4007,依依的茶艺挑战,中,60.7%,653,模拟、枚举
4344,3771,长出金币的道路,易,9.2%,653,动态规划
4345,1134,蓝桥田地,中,56%,654,二维树状数组
4346,1012,方格染色,难,66.7%,654,思维、构造、排列组合
4347,10591,拥有糖果最多的小朋友,中,92.9%,655,枚举
4348,2391,三体人观测三颗太阳,难,71.7%,656,计算几何
4349,18359,晚钟与晨光,中,96.9%,657,语法
4350,1330,割点,难,89.5%,658,Tarjan
4351,1227,小明的游戏6,中,94.3%,658,巴什博弈
4352,1858,海狸2,难,93.1%,659,引用
4353,4021,大衣的天平,中,46.7%,659,思维、数学
4354,20175,数字与留言,中,24.7%,659,国赛、2024
4355,4348,餐厅就餐,易,81%,659,优先队列
4356,8218,电池对比,中,75.9%,660,枚举
4357,20651,新学期征程【算法赛】,中,91.1%,660,
4358,3581,Goshopping,易,82.4%,661,模拟
4359,400,铺地毯,难,92.2%,662,2011、模拟、思维、NOIP
4360,3806,小郑花式喝酒,易,96%,662,思维
4361,10040,数组的伴生表达式,中,72.6%,663,数学
4362,823,越狱,难,83.6%,664,快速幂、HNOI
4363,1338,括号匹配,中,74.5%,668,卡特兰数
4364,3034,小蓝爱画画,难,82.7%,668,思维、计算几何
4365,788,生成格雷码,难,83.6%,669,2019、CSP-S、递归
4366,3378,森林的最大美丽值,中,81.5%,669,树状数组、差分、二分
4367,3141,第K小的数,中,63%,669,堆、思维
4368,18416,邮差老约翰,中,95.7%,670,模拟、枚举、语法
4369,3855,区间or划分,易,78.1%,673,贪心、位运算
4370,8081,小蓝数点,中,42%,673,计算几何、数学
4371,3719,最小权重路径,易,70.1%,675,图论、思维、最短路问题
4372,561,陶陶摘苹果,中,97.1%,677,2005、模拟、NOIP
4373,5181,生物家族能量查询,中,89.8%,678,DFS序
4374,10038,小蓝重组质数,中,83.1%,679,DFS
4375,827,球形空间产生器,难,85.2%,679,高斯消元、JSOI
4376,3777,最后一个元素的值,易,48.7%,679,哈希表
4377,19875,逆序对的数量,中,80.9%,680,树状数组、逆序对
4378,17000,打折【算法赛】,中,53.3%,686,网络流、费用流
4379,20155,修改数位,中,73%,686,国赛、2024
4380,5847,团队组建,中,66.1%,686,数学
4381,1316,求土包子,难,2%,687,凸包
4382,12068,线段覆盖,中,82.2%,687,差分
4383,21176,升级红包【算法赛】,中,44.4%,687,
4384,4503,保卫国王大道,易,95.9%,688,树形DP
4385,3578,恒温器调节问题,易,84.2%,689,贪心、数学
4386,19797,晁盖分饼【算法赛】,中,41.8%,690,思维、动态规划、LCM、分类讨论
4387,369,螺旋矩阵,难,33.5%,691,2014、模拟、NOIP
4388,20143,树的结点值,中,85.1%,691,国赛、2024
4389,17163,组合数【算法赛】,难,44.4%,692,矩阵快速幂
4390,4381,变换串,易,71.9%,692,BFS
4391,4058,阿坤老师的彩带插花,难,81.1%,692,暴力、枚举
4392,9713,小蓝考试,中,0%,692,模拟
4393,837,游戏,难,18.2%,693,SCOI、动态规划
4394,2920,日期相加,易,79.3%,693,模拟、枚举
4395,3959,简单的集合合并,易,62.8%,693,并查集、思维、DFS
4396,5671,做任务，赚积分,中,98.6%,695,模拟、思维
4397,8112,数字转换,中,66%,697,模拟
4398,11011,青蛙跳跃,中,96.3%,698,模拟
4399,771,计算器的改良,难,4.8%,699,2000、字符串、模拟、NOIP
4400,773,导弹拦截,难,74.9%,699,1999、贪心、NOIP、动态规划、二分
4401,1948,进制转换,难,34.8%,699,引用
4402,17076,Quantum Energy Matrix,中,98.7%,699,模拟
4403,8041,小咕咕,中,92.7%,700,GCD
4404,3592,多项式求和,中,92%,702,枚举、数学
4405,965,飞行棋,难,79%,702,AHOI
4406,11064,数字接龙,中,13%,704,数学
4407,3710,幸运年,难,83.4%,704,数位DP
4408,367,珠心算测验,难,86.6%,707,2014、模拟、枚举、NOIP
4409,11027,天才黑客但暴力破解密码,中,98.4%,709,字符串
4410,18481,皇家守卫【算法赛】,难,59.7%,710,单调栈、线段树
4411,4707,幸运数字,易,74.5%,710,模拟
4412,3713,在明日玩原神,难,92.4%,710,动态规划
4413,18229,河畔石上数,中,96.7%,711,模拟、枚举、语法
4414,17527,小齐的GPS之争,中,28.2%,711,数学
4415,3590,取石子游戏,易,73.3%,712,博弈
4416,1244,一道数学题,难,78.4%,712,威尔逊定理
4417,8073,拯救班主任小蓝,中,5.7%,715,数据结构
4418,3915,小蓝的糖果交换,难,65.6%,716,数学
4419,3886,Windows的消息队列,易,95.8%,717,优先队列
4420,1859,数字阶梯,中,85%,717,引用
4421,1223,小明的游戏4,难,93.2%,718,斐波那契博弈
4422,18528,小蓝的MEX问题【算法赛】,中,56.6%,719,数学
4423,376,解方程,中,23.2%,719,2014、高精度、枚举、NOIP、搜索、质数
4424,18595,单词博弈【算法赛】,中,46%,719,思维、动态规划、博弈
4425,8119,诺伊的魔法棋盘,中,89.7%,719,思维
4426,1240,点和直线关系,难,89.1%,719,计算几何
4427,803,方格取数,中,43.9%,722,2020、CSP-J、动态规划、搜索
4428,3600,Chess,易,72.5%,723,动态规划
4429,21177,烤肠试吃【算法赛】,中,70.2%,724,
4430,3224,冒险岛,中,74.2%,725,排序、前缀和
4431,1311,用圆覆盖点,难,95.4%,726,最小圆覆盖
4432,1287,线段相交判断,难,94.2%,727,计算几何
4433,18358,十位数宝藏代码,中,94.6%,729,全排列、暴力
4434,20158,循环位运算,难,58.1%,732,国赛、2024
4435,20648,开学考核【算法赛】,中,51.7%,734,
4436,4337,小蓝玩游戏,难,90.4%,734,期望DP
4437,20125,基因组合,中,47.8%,736,国赛、2024
4438,3579,神秘岛上的密码宝石,易,48.1%,736,暴力、二进制
4439,337,时间复杂度,难,66.7%,737,2017、字符串、模拟、NOIP
4440,17738,寻找纪录日,中,95.6%,738,数学
4441,5120,肖恩的循环节,难,76.3%,739,思维、二分
4442,3681,肖恩排座位,易,64.6%,740,思维、二分
4443,11048,牛牛的贪吃计划,中,81.6%,741,动态规划
4444,3918,小郑快乐调酒,易,71.1%,742,思维
4445,6450,糖果店的优惠,中,79.1%,744,二分、数学
4446,21175,分期付款【算法赛】,中,74.1%,745,
4447,18489,拔苗助长【算法赛】,难,76.2%,746,数学、质数
4448,3984,ROG,易,83.1%,746,思维、二维前缀和
4449,20173,空间传送装置,中,71.9%,750,国赛、2024
4450,4271,费马的秘密遗物,易,94%,752,费马小定理
4451,18349,分开元音字母,中,92.4%,753,字符串、贪心
4452,3701,单词数最多的关联文本,易,90.2%,754,状态压缩、动态规划
4453,18420,拿糖果,难,83.9%,754,模拟、思维、二分、语法
4454,12042,神秘括号匹配之谜,易,91.4%,755,动态规划
4455,4131,小朋友排排队,中,50.3%,755,字符串、贪心
4456,5708,小蓝的环,中,88.9%,755,二分
4457,17025,赛博奴隶主【算法赛】,中,25.8%,756,数学、Pollard Rho
4458,1548,最少操作数,难,94.3%,758,区间DP
4459,20160,药剂,难,31.9%,758,国赛、2024
4460,20118,分割字符串,中,49.7%,761,国赛、2024
4461,11051,最小组队费用,中,15.7%,762,网络流
4462,1428,骑士游戏,难,54.5%,762,2014、JSOI、动态规划、最短路问题
4463,17172,修整道路【算法赛】,中,25.4%,764,图论、树
4464,17018,Excel计算【省模拟赛】,中,80.9%,764,
4465,4204,费马的模逆元之谜,易,91.9%,765,费马小定理
4466,4269,特定准则,易,81.5%,765,二分
4467,3284,欧涛最短路,难,88.3%,767,Dijkstra
4468,3979,星辰能量II,易,82.4%,768,逆元、DFS、数学
4469,19931,小鸡变鸡腿【算法赛】,中,51.9%,769,唯一分解定理、约数定理、数学
4470,8034,不停燃烧,中,43.4%,770,动态规划
4471,1424,最大公约数,难,34%,770,2015、暴力、JSOI
